  Land Acquisition Rajasthan Amendment Act, 1987: 1

  Land Improvement Loans Act, 1883: 1

  Laws Local Extent Act, 1874: 1

  Legal Metrology Act, 2009: 1

  Legal Services Authorities Amendment Act, 2002: 1

  Levy Sugar Price Equalisation Fund Act, 1976: 1

  Life Insurance Emergency Provisions Act, 1956: 1

  Limited Liability Partnership Act, 2008: 1

  Lushai Hills District Change of Name Act, 1954: 1

  Madhya Pradesh Excise Act, 1915: 1

  Madhya Pradesh General Clauses Act, 1957: 1

  Madhya Pradesh Griha Nirman Mandal Adhiniyam, 1972: 1

  Madhya Pradesh Local Authorities School Teachers Absorption in Government Service Act, 1963: 1

  Madhya Pradesh Niji Vishwavidyalaya Sthapana Avam Sanchalan Adhiniyam, 2007: 1

  Madhya Pradesh Niji Vishwavidyalaya Sthapana Avam Sanchalan Sanshodhan Adhiniyam, 2011: 1

  Madhya Pradesh Niji Vyavsayik Shikshan Sanstha Pravesh Ka Viniyaman Avam Shulk Ka Nirdharan Adhiniyam, 2007: 1

  Madhya Pradesh Shops and Establishments Act, 1958: 1

  Madhya Pradesh Tendu Patta Vyapar Viniyaman Adhiniyam, 1964: 1

  Madhya Pradesh Upkar Adhiniyam, 1981: 1

  Madhya Pradesh Van Upaj Vyapar Viniyaman Adhiniyam, 1969: 1

  Madhya Pradesh Vanijyik Kar Adhiniyam, 1994: 1

  Madhya Pradesh Vidyut Sudhar Adhiniyam, 2000: 1

  Madhya Pradesh Vyavsayik Pariksha Mandal Adhiniyam, 2007: 1

  Madhya Pradesh Zila Yojana Samiti Adhiniyam, 1995: 1

  Madras Commercial Crops Markets Act, 1933: 1

  Madras Race Club Acquisition and Transfer of Undertaking Act, 1986: 1

  Madras Race Club Acquisition and Transfer of Undertaking Act, 1986: 1

  Madras Sugar Factories Control Act, 1949: 1

  Madras University Act, 1923: 1

  Maharashtra Agricultural Universities Krishi Vidyapeeths Act, 1983: 1

  Maharashtra Civil Courts Act, 1869: 1

  Maharashtra Cooperative Societies Amendment Act, 2000: 1

  Maharashtra Cooperative Societies Second Amendment Act, 2000: 1

  Maharashtra Educational Institutions Prohibition of Capitation Fee Act, 1987: 1

  Maharashtra Educational Institutions Transfer of Management Act, 1971: 1

  Maharashtra Employment Guarantee Act, 1977: 1

  Maharashtra Employment Guarantee Act, 1977: 1

  Maharashtra Godawari Marathwada Irrigation Development Corporation Act, 1998: 1

  Maharashtra Jeevan Authority Act, 1976: 1

  Maharashtra Mathadi, Hamal and Other Manual Workers Regulation of Employment and Welfare Act, 1969: 1

  Maharashtra Medical Practitioners Act, 1961: 1

